line,func,output,a,b,c,arr,arr[0][0],arr[0][1],arr[1][0],arr[1][1],arr2,arr2[0],arr2[1],arr2[2],arr2[3],arr2[4],arr2[5],arr2[6],arr2[7],arr2[8],arr2[9],i,myg
4,main,,0,0,0,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
6,main,,0,0,0,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
7,main,,0,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
8,main,3,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
9,main,5,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
11,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
12,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 40, 48, -9376, 32767, -9568, 32767}",0,0,0,0,40,48,-9376,32767,-9568,32767,0(gdb) ,7
13,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,0,0,0,0,0,0,0,0,0(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,0,0,0,0,0,0,0,0,0(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,0,0,0,0,0,0,0,0,0(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 0, 0, 0, 0, 0, 0, 0, 0, 0}",1,0,0,0,0,0,0,0,0,0,0(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 0, 0, 0, 0, 0, 0, 0, 0, 0}",1,0,0,0,0,0,0,0,0,0,1(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 0, 0, 0, 0, 0, 0, 0, 0}",1,1,0,0,0,0,0,0,0,0,1(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 0, 0, 0, 0, 0, 0, 0, 0}",1,1,0,0,0,0,0,0,0,0,2(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 0, 0, 0, 0, 0, 0, 0}",1,1,1,0,0,0,0,0,0,0,2(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 0, 0, 0, 0, 0, 0, 0}",1,1,1,0,0,0,0,0,0,0,3(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 0, 0, 0, 0, 0, 0}",1,1,1,1,0,0,0,0,0,0,3(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 0, 0, 0, 0, 0, 0}",1,1,1,1,0,0,0,0,0,0,4(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 0, 0, 0, 0, 0}",1,1,1,1,1,0,0,0,0,0,4(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 0, 0, 0, 0, 0}",1,1,1,1,1,0,0,0,0,0,5(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 0, 0, 0, 0}",1,1,1,1,1,1,0,0,0,0,5(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 0, 0, 0, 0}",1,1,1,1,1,1,0,0,0,0,6(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 0, 0, 0}",1,1,1,1,1,1,1,0,0,0,6(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 0, 0, 0}",1,1,1,1,1,1,1,0,0,0,7(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 0, 0}",1,1,1,1,1,1,1,1,0,0,7(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 0, 0}",1,1,1,1,1,1,1,1,0,0,8(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 1, 0}",1,1,1,1,1,1,1,1,1,0,8(gdb) ,7
15,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 1, 0}",1,1,1,1,1,1,1,1,1,0,9(gdb) ,7
14,main,,3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 1, 1}",1,1,1,1,1,1,1,1,1,1,9(gdb) ,7
15,main,"[Inferior 1 (process 133483) exited with code 01]",3,1,2,"{{0, 0}, {0, 0}}",0,0,0,0,"{1, 1, 1, 1, 1, 1, 1, 1, 1, 1}",1,1,1,1,1,1,1,1,1,1,10(gdb) ,7
